IDNO,Name,Regions,OpposeSupport,PartyAffliation,i,we,you,shehe,they,past,present,future,negate,social,posemo,negemo,insight,cause,discrep,tentat,certain,inhib,incl,excl,motion,achieve,money,relig,death
273,Levin,1,0,2,.56,2.25,.07,.07,.91,1.69,4.86,.77,1.27,6.19,2.46,2.32,2.81,1.9,1.13,1.55,1.48,1.34,4.86,2.04,1.27,2.81,.07,0,.14
431,Akaka,1,0,2,.43,2.06,0,.51,.51,1.16,4.89,1.46,.94,5.57,2.49,4.54,1.37,1.89,1.54,1.84,1.71,1.24,3.86,1.93,1.03,3.3,.86,0,1.37
224,Grams,1, ,1,1.22,1.65,0,1.08,.99,1.98,5.27,1.32,1.03,6.54,1.98,2.87,2.02,2.45,1.83,1.65,.94,1.79,3.67,2.35,1.65,3.72,.38,0,.47
502,Allard,1,1,1,2.07,2.07,0,1.17,.45,.77,7.35,1.22,1.04,7.26,1.98,2.34,2.7,2.21,1.89,1.76,1.04,.99,4.73,1.26,1.89,2.75,.32,.09,.18
433,Durbin,1,0,2,2.04,3.74,.5,.55,.44,2.5,7.66,.99,1.49,9.43,2.27,3.69,2.3,1.9,1.65,1.81,1.13,.64,5.4,2.55,2.2,2.76,.21,.05,.78
381,McCain,1,1,1,2.3,2.19,.04,1.53,.4,1.93,6.06,1.06,1.46,9.19,2.48,4.01,2.7,1.61,1.39,2.12,1.9,1.5,4.2,2.37,1.35,2.74,.33,.07,.36
51,Cleland,1,1,2,1.62,2.2,.29,.29,.13,1.78,4.08,.78,.81,6.03,3.31,2.53,2.53,1.94,1.17,1.3,1.46,1.46,4.57,1.17,1.49,4.15,.58,.03,.62
477,Cantwell,1,1,2,1.21,2.79,0,.98,.23,2.1,5.26,1.54,1.21,7.27,3.26,4.15,2.33,2.05,2.33,1.72,1.82,1.63,5.96,2.24,1.91,4.24,.47,.09,.37
361,Allen,1,1,1,1.66,2.15,0,.74,.48,.48,6.39,1.23,1.01,6.79,3.42,2.67,3.37,2.36,1.4,1.49,1.75,1.44,5.47,2.06,1.49,3.81,.22,.13,.26
407,Warner,1,1,1,2.79,1.5,.05,.81,.48,2.26,5.27,1.02,1.24,5.7,2.36,2.26,2.63,1.88,1.13,1.34,1.29,1.02,3.39,1.67,1.5,4.19,.27,0,.59
362,Stevens,1,1,1,1.71,3.25,.21,1.58,.81,2.65,7.22,1.5,1.03,8.63,2.09,4.27,1.96,2.01,1.67,1.84,1.96,.9,5.08,1.71,1.92,2.14,.3,.09,.81
99,Durbin,1,0,2,1.72,3.37,.2,.52,1.12,1.72,7.5,1.48,1.32,8.46,3.25,2.33,2.69,1.4,1.08,1.76,1.08,1.08,4.93,2.13,1.72,2.89,.2,.2,.32
356,Warner,1,1,1,3.87,1.78,.24,.97,.36,1.95,6.39,.78,.78,6.94,3.06,1.52,2.9,1.57,1.19,2.09,1.31,.74,4.63,1.83,1.57,2.73,.19,.1,.14
398,Roberts,1,1,1,.84,1.74,.06,.81,.41,1.28,5.69,1.71,1.36,6.82,2.41,3.25,2,2.26,1.1,1.97,1.45,1.54,4.99,2.03,1.83,3.95,.49,.29,.46
402,Kennedy,1,0,2,.75,2.3,0,1.06,.6,1.39,4.72,1.59,1.36,6.79,2.94,5.82,1.98,1.98,1.55,2.01,1.3,1.26,4.63,2.22,1.32,3.32,.31,.17,1.21
516,Roberts,1,1,1,1.82,2.77,.19,1,.67,1.34,6.98,1.34,1.29,7.79,2.53,3.68,3.39,1.91,1.77,2.82,1.86,.76,4.64,2.63,1.43,2.72,.62,.19,.43
191,Levin,1,0,2,.73,.83,0,1.25,.73,1.98,4.99,1.14,.83,6.55,3.33,2.91,2.18,2.39,1.46,1.14,1.46,2.08,4.16,1.25,1.25,3.22,.42,.1,.1
259,Kyl,1,1,1,1.44,1.4,.21,.76,.38,2.41,7.02,1.35,.93,6.43,2.58,2.03,2.5,2.33,1.73,2.28,.8,.97,4.23,2.24,1.95,3,.42,0,.3
