IDNO,Name,Date,Venue,,Region,PartyAffiliation,Honesty,Status,CatThink,ComplexThink,CogProcess,PsychDistance,Presidentiality,Depression,,Title,Dateno,,,,Month,Day,Year
296,McCain,2/12/1998,Senate,,Iraq,R,0.311408,-0.311779,2.695387,0.327257,0.209789,1.811554,1.580305,0.341585,,Senator,35838,,,,2,12,98
314,Miller,10/3/2002,Senate,,Iraq,R,3.445051,-6.064165,-3.721387,-0.120304,-1.552502,-6.455978,-3.783624,8.499533,,Senator,37532,,,,10,3,2
315,MoranKS,4/17/2012,Senate,,Iran,R,2.070794,-0.423463,0.841205,-1.063205,0.238137,2.975348,0.038014,-0.856448,,Senator,41016,,,,4,17,12
318,Murkowski,9/5/2002,Senate,,Iraq,R,-0.315608,1.266073,0.963931,-1.018828,0.446239,0.536778,-0.324001,-0.330069,,Senator,37504,,,,9,5,2
319,Byrd,9/5/2002,Senate,,Iraq,D,0.062461,-1.082173,-2.134372,-0.037932,-0.162255,-6.988931,-1.309635,2.089692,,Senator,37504,,,,9,5,2
320,Murkowski,3/4/2002,Senate,,Iraq,R,-0.684842,0.968869,-1.453109,-2.331781,-0.660423,-0.808443,-2.169347,0.957405,,Senator,37319,,,,3,4,2
321,Murkowski,3/12/2002,Senate,,Iraq,R,-3.448971,1.603069,-1.419204,-2.263094,-0.456458,0.134867,-1.867845,-0.954013,,Senator,37327,,,,3,12,2
322,McCain,5/21/2012,Senate,,Iran,R,1.610462,-2.970953,-1.692419,0.857023,0.851425,-1.970272,-1.302655,-0.488906,,Senator,41050,,,,5,21,12
323,GrahamSC,5/21/2012,Senate,,Iran,D,-2.319767,0.217093,-0.055973,1.947601,2.254686,-2.76485,0.670365,-1.716053,,Senator,41050,,,,5,21,12
324,Reid,5/21/2012,Senate,,Iran,D,-1.258541,-1.319203,-1.949958,-1.618931,0.834353,-3.651801,0.023012,-2.565294,,Senator,41050,,,,5,21,12
325,Johnson,5/21/2012,Senate,,Iran,D,3.063932,-2.857969,2.918169,-7.408806,-1.55191,3.443397,2.051133,-1.820612,,Senator,41050,,,,5,21,12
326,Menendez,5/21/2012,Senate,,Iran,D,1.434377,-1.192633,4.132113,-2.864787,-0.808788,5.018668,2.570558,-2.209526,,Senator,41050,,,,5,21,12
327,Schumer,5/21/2012,Senate,,Iran,D,0.237975,-0.151148,-0.261005,-0.701449,-0.010284,-0.804499,0.175815,-1.139364,,Senator,41050,,,,5,21,12
328,Brown,5/21/2012,Senate,,Iran,D,-1.013639,0.603932,1.947422,1.586748,0.678217,0.677777,2.319699,-1.247855,,Senator,41050,,,,5,21,12
329,Lott,5/22/1998,Senate,,Iran,R,5.278177,-0.804731,-1.472698,0.57214,-0.590313,-0.46752,-1.232233,-0.526988,,Senator,35937,,,,5,22,98
330,Brownback,5/22/1998,Senate,,Iran,R,-0.628429,-0.568529,1.290858,-0.933456,0.199454,2.538399,1.282267,-1.791454,,Senator,35937,,,,5,22,98
331,Kyl,5/22/1998,Senate,,Iran,R,2.250686,-1.175741,2.410214,-0.381283,-0.454706,3.43042,0.920599,-1.154397,,Senator,35937,,,,5,22,98
332,Lieberman,5/22/1998,Senate,,Iran,D,1.636661,-0.704827,1.947094,0.015745,-0.067096,2.538303,1.252901,-0.596572,,Senator,35937,,,,5,22,98
333,Faircloth,5/22/1998,Senate,,Iran,D,-0.717894,-0.948744,0.391087,-0.565097,0.959071,-0.778105,2.843432,-1.952712,,Senator,35937,,,,5,22,98
334,Biden,5/22/1998,Senate,,Iran,D,-0.148535,0.151891,-1.238493,-0.73308,-0.542289,0.037711,-1.750273,-0.015535,,Senator,35937,,,,5,22,98
335,Domenici,5/22/1998,Senate,,Iran,R,2.456105,-0.640015,4.710954,-1.155477,-0.287052,6.084798,2.948275,0.255082,,Senator,35937,,,,5,22,98
336,Lautenberg,5/22/1998,Senate,,Iran,D,-0.546345,-0.983881,2.536936,-1.563008,-1.245518,3.317705,0.252791,-1.587134,,Senator,35937,,,,5,22,98
337,Boxer,5/22/1998,Senate,,Iran,D,2.009957,-2.098084,0.998765,-2.422457,-0.561024,1.346221,0.34236,-0.853241,,Senator,35937,,,,5,22,98
338,Snowe,5/22/1998,Senate,,Iran,R,0.241857,-1.145354,1.345016,-0.534651,-1.382388,1.641971,2.109358,-1.200885,,Senator,35937,,,,5,22,98
355,Byrd,10/7/2002,Senate,,Iraq,D,0.458596,1.205239,0.895915,1.110452,1.1727,1.742365,-0.215677,0.579499,,Senator,37536,,,,10,7,2
356,Warner,10/7/2002,Senate,,Iraq,R,3.121447,-2.298979,1.033342,-1.093372,-0.304795,0.08101,0.770315,1.051498,,Senator,37536,,,,10,7,2
357,Cleland,10/7/2002,Senate,,Iraq,D,-0.035247,-0.269963,0.752333,-0.743871,0.822406,0.908897,0.230395,2.010661,,Senator,37536,,,,10,7,2
358,Bennett,10/7/2002,Senate,,Iraq,R,0.906946,-1.171678,-0.98241,0.487153,1.117099,0.479269,-1.127776,1.30155,,Senator,37536,,,,10,7,2
359,Kyl,10/7/2002,Senate,,Iraq,R,1.779254,0.53519,0.329761,0.773814,1.099948,1.584825,-0.660068,0.867397,,Senator,37536,,,,10,7,2
360,Domenici,10/7/2002,Senate,,Iraq,R,3.980429,-3.030885,-0.871762,1.888769,2.102599,-5.014684,-1.278908,4.376895,,Senator,37536,,,,10,7,2
361,AllenVA,10/7/2002,Senate,,Iraq,R,3.091569,-0.539249,2.271642,0.744113,0.905274,2.692633,1.671745,-0.403437,,Senator,37536,,,,10,7,2
362,Stevens,10/7/2002,Senate,,Iraq,D,0.600262,0.510791,-1.084643,-1.49144,-0.205345,-0.258168,-1.554665,1.607153,,Senator,37536,,,,10,7,2
363,Hatch,10/7/2002,Senate,,Iraq,R,2.037646,0.133918,1.315916,-0.095909,0.181054,1.428069,0.468066,0.353678,,Senator,37536,,,,10,7,2
364,Nelson,10/7/2002,Senate,,Iraq,D,0.024093,-0.359359,1.883676,-2.034719,-0.212213,2.240223,1.260834,-0.212187,,Senator,37536,,,,10,7,2
365,Specter,10/7/2002,Senate,,Iraq,R,6.042573,-2.21041,1.617176,0.886436,0.112813,1.206523,0.438677,5.01867,,Senator,37536,,,,10,7,2
366,Lieberman,10/8/2002,Senate,,Iraq,D,0.074742,0.147763,0.511486,-0.602451,0.33282,1.369981,0.241859,0.055467,,Senator,37537,,,,10,8,2
367,McCain,10/8/2002,Senate,,Iraq,R,0.501772,-0.902802,2.037282,-0.784767,-0.012744,3.021345,1.626661,-0.482927,,Senator,37537,,,,10,8,2
368,Warner,10/8/2002,Senate,,Iraq,R,1.384373,-0.664815,-0.383004,-0.481347,-0.867468,0.377512,-0.738273,0.503849,,Senator,37537,,,,10,8,2
369,Bayh,10/8/2002,Senate,,Iraq,R,-0.596221,0.074862,-0.619335,0.392873,1.00484,-2.29809,0.096169,2.071766,,Senator,37537,,,,10,8,2
