ID #,Name,Date,Venue,State,Region,namest,Party,Honesty,Status,CatThink,ComplexThink,CogProcess,PsychDistance,Year,StartedCongress,YrsInCongress,WordCount
99,Durbin,3/13/2003,Senate,IL,Iraq,DurbinIL,D,-0.238676,0.115324,-0.327657,-0.034941,0.312916,0.525336,2003,1983,20,2494
104,Durbin,10/30/2007,Senate,IL,Iran,DurbinIL,D,4.655197,-0.77765,1.235386,0.20549,0.295935,4.214521,2007,1983,24,1173
105,Edwards,9/12/2002,Senate,NC,Iraq,EdwardsNC,D,-2.787964,0.5191,1.479047,-2.290574,-0.160668,1.831652,2002,1999,3,1198
106,Feingold,12/8/2006,Senate,WI,North Korea,FeingoldWI,D,-2.889614,0.51896,-0.626178,-0.809815,-1.590887,0.644177,2006,1993,13,406
110,Feingold,7/25/2002,Senate,WI,Iraq,FeingoldWI,D,5.042803,-1.668711,2.264123,2.53912,3.579745,0.96805,2002,1993,9,746
112,Feingold,6/22/2007,Senate,WI,Iran,FeingoldWI,D,2.084296,1.594044,-0.521489,4.321982,-0.488929,-0.101305,2007,1993,14,479
181,Feingold,11/8/2007,Senate,WI,Iran,FeingoldWI,D,2.947848,1.080053,1.776158,0.164412,-1.027455,2.024076,2007,1993,14,848
184,Feingold,9/26/2002,Senate,WI,Iraq,FeingoldWI,D,1.377381,-0.633352,1.06105,2.65782,1.395071,1.296817,2002,1993,9,1469
185,Feinstein,4/10/2003,Senate,CA,North Korea,FeinsteinCA,D,4.422597,-0.611362,1.565822,1.092925,0.036905,4.094736,2003,1992,11,2202
186,Lott,2/12/1998,Senate,MS,Iraq,LottMS,R,2.815946,-0.239434,-2.674769,1.992089,2.220046,-2.474192,1998,1989,9,2035
187,Daschle,2/12/1998,Senate,SD,Iraq,DaschleSD,D,1.877573,-0.236947,2.434869,1.394446,2.043098,2.430391,1998,1979,19,1076
188,Biden,2/12/1998,Senate,DE,Iraq,BidenDE,D,2.842238,-0.367219,2.24765,2.646903,2.983154,3.126466,1998,1973,25,1795
189,Hutchison,2/12/1998,Senate,TX,Iraq,HutchisonTX,R,-6.804872,2.181825,-1.6476,0.396887,0.751894,-2.388009,1998,1993,5,754
190,Lieberman,2/12/1998,Senate,CT,Iraq,LiebermanCT,D,1.831414,0.238545,1.192523,4.023193,1.233328,1.365164,1998,1989,9,1928
191,LevinC,2/12/1998,Senate,MI,Iraq,LevinCMI,D,2.929131,-1.105725,2.189686,0.733281,1.014082,3.59285,1998,1979,19,962
192,Lott,2/22/2000,Senate,MS,Iran,LottMS,R,4.97168,-1.951376,0.633048,2.185435,0.181826,-0.183624,2000,1989,11,1682
