"","ID","Region","Name","Party","Date","Venue","Foundation","Reference","Coverage"
"1582",299,"Libya","Kerry",1,"6/21/2011","Senate","Purity",2,0.0078
"1605",846,"Sudan","Kilpatrick",1,"7/21/2004","House","Purity",1,0.0269
"1607",686,"Sudan","Kilpatrick",1,"9/20/2006","House","Purity",2,0.0133
"1617",1587,"Afghanistan","Kleczka",1,"9/14/2001","House","Purity",1,0.053
"1621",1585,"Afghanistan","Kucinich",1,"9/14/2001","House","Purity",1,0.0482
"1630",698,"Iraq","Kucinich",1,"10/3/2002","House","Purity",4,0.0068
"1636",699,"Iraq","Kucinich",1,"1/8/2003","House","Purity",1,0.0089
"1649",1610,"North Korea","Kucinich",1,"9/29/2006","House","Purity",1,0.0073
"1654",705,"Iran","Kucinich",1,"3/15/2007","House","Purity",1,0.0572
"1665",815,"Libya","Kucinich",1,"6/24/2011","House","Purity",1,0.0565
"1671",1511,"Iraq","Kucinich",1,"10/9/2002","House","Purity",2,0.0327
"1680",487,"Iraq","Landrieu",1,"10/10/2002","Senate","Purity",1,0.0033
"1683",1690,"Afghanistan","Langevin",1,"9/14/2001","House","Purity",1,0.0539
"1693",1561,"Afghanistan","Lantos",1,"9/14/2001","House","Purity",1,0.007
"1704",799,"Russia","Lantos",1,"7/19/2004","House","Purity",1,0.0046
"1713",1898,"Sudan","Lantos",1,"6/22/2005","House Hearings","Purity",1,0.0073
"1717",1883,"Sudan","Lantos",1,"3/8/2006","House Hearings","Purity",1,0.067
"1724",712,"Iran","Lantos",1,"4/26/2006","House","Purity",1,0.0132
"1735",1794,"Sudan","Lantos",1,"9/25/2006","House","Purity",1,0.0151
"1742",1351,"Sudan","Lantos",1,"2/8/2007","House Hearings","Purity",1,0.0173
"1752",1922,"Russia","Lantos",1,"10/6/1999","House Hearings","Purity",1,0.0063
"1755",736,"Afghanistan","Larson",1,"9/14/2001","House","Purity",3,0.0917
"1772",377,"Iraq","Leahy",1,"10/9/2002","Senate","Purity",1,0.0032
"1776",268,"Iraq","Leahy",1,"1/30/2003","Senate","Purity",2,0.0112
"1779",270,"Iraq","Leahy",1,"3/13/2003","Senate","Purity",1,0.0057
